Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
3422 Electrical Distribution Trades Workers,Male,"e. $180,000 or more",219,219,72274512,219,26730323.4,218,1412277.86,27,72507.56,218,1484785.42,219,26431832.84,1,2175.14,219,30689645,219,12155409,60,146188,80,5784942,80,6164901,1,4685,7,70478,8,79917,0,0,145,683514,16,10083,69,1670465,69,715895,219,73272994,74,252474,37,79194,199,43369,10,25903,200,387305,212,788245,6,4206,8,10860,4,15125,137,36296,176,62136,217,998483,13,242231,110,807067,3,53937,31,708231,18,164619.32,0,0,2,86182,0,0,29,24042603,29,11627627.32,30,48339367,17,447904,16,8528,16,8528,13,756.47,51,938408,46,552051,28,90259,52,511461,13,88869,39,-304232,53,-215363,9,17358,2,4654,1,35000,16,46615,5,1608586,6,1581103,7,-55437,4,21072.54,8,11988,7,3020.2,0,0,86,2411871.66,1,2143,0,0,0,0,200,182,123593,7,2195.26,168,83018.77
3423 Electronics Trades Workers,Female,"a. $18,200 or less",184,183,1895988,1,254.79,0,0,0,0,0,0,0,0,0,0,175,1920556,155,252974,19,36144,4,47813,0,0,23,137278,2,18627,0,0,0,0,94,151673,12,2171,30,35811,30,15338,184,2216447,12,13800,5,7290,40,6883,2,21212,53,29818,74,79003,1,116,3,296,1,2840,31,109332,43,24530,98,242844,8,115169,6,51435,1,-17623,11,-23576,1,86.54,1,83,0,0,3,6971,5,18680,0,0,8,58697,10,658667,4,591,4,591,4,72.77,21,318748,18,183351,11,26773,21,177640,9,49937,12,-118953,21,-69016,2,3730,0,0,1,26500,1,227,18,1701284,14,1758401,19,-85098,0,0,0,0,0,0,1,141.79,0,0,45,1065435,2,10709,0,0,96,71,48494,7,2146.55,6,3162.1
3423 Electronics Trades Workers,Female,"b. $18,201 to $37,000",436,436,12447315,435,855396.63,319,167846.96,2,363.75,319,168194.91,376,803553.9,0,0,431,12067983,411,1683048,78,122854,7,35513,5,34881,66,362146,15,163805,3,40155,1,13214,258,152135,18,5446,64,67513,64,28917,436,13115248,104,192977,37,35767,245,61601,22,36018,289,221036,358,547399,15,3417,4,1193,8,13411,146,36594,178,33924,368,656707,35,775648,33,252500,3,-31197,34,63916,17,12631.57,14,135328,0,0,5,29424,10,5066,10,346.73,14,25354,21,515249,17,2673,18,2763,17,405.02,58,761717,52,543148,30,59974,58,478474,12,71276,47,-391155,59,-319879,7,29188,2,2868,0,0,11,20769,29,382183,24,284182,29,79307,17,7328.49,2,2655.02,17,588,417,175541.8,0,0,110,2143654,4,13934,0,0,233,194,115621,17,4195.03,30,8642.29
3423 Electronics Trades Workers,Female,"c. $37,001 to $80,000",1419,1419,81587496,1419,14525463.34,1299,1460884.4,13,8976.22,1299,1469860.62,1419,15666931.16,135,420642.19,1415,81967993,1409,17659224.27,281,362692,27,181000,19,116425,29,92496,17,138217,14,136223,6,106190,884,554877,55,13405,261,354911,261,152028,1419,84665470,482,884378,178,134504,877,252844,70,157418,1143,1053231,1277,2482375,41,20808,32,38433,23,12909,688,188686,801,170048,1333,2986695,124,2246277,226,1546280,6,-2487,78,560102,36,48172.45,9,137261,2,36708,15,81686,33,223876,33,49330.07,51,665750,78,791470,44,38612,41,24831,36,1112.68,269,4781046,254,2974421,147,434020,271,2430608,61,478519,211,-1536522,272,-1058003,14,16793,11,37269,0,0,51,71922,51,1757890,50,1386513,56,284734,39,70773.66,12,19456.12,42,5107.12,1043,231585.87,46,19780.04,279,5061216.49,14,73573.84,0,0,891,797,472254,86,25700.99,123,30535.07
3423 Electronics Trades Workers,Female,"d. $80,001 to $180,000",685,685,72520643,685,18577235.04,648,1372731.07,34,38848.97,651,1411580.04,684,19813775.17,35,161365.51,683,69230591,681,19743354,120,245088,20,474955,15,286361,1,1875,1,4835,9,78499,4,149632,452,447712,58,16578,216,545185,216,233603,685,74464384,225,439711,101,73198,328,84009,26,67498,596,690056,633,1354472,30,14358,18,7048,22,42442,406,171773,452,160211,662,1925297,47,623392,182,1569776,2,-186,79,1429887,44,198489.13,8,282161,0,0,11,73124,52,1009013,52,299567.25,62,2092518,58,964079,54,246644,46,27093,42,54509.75,209,4342521,202,2661879,132,469121,213,2207854,60,397460,153,-1393793,213,-996333,13,32229,3,339,1,34610,63,138181,22,545952,25,66382,29,445065,16,153232.91,8,11395,17,8553.67,0,0,29,88683.48,40,420346.09,0,0,0,0,582,525,320943,57,16877.87,305,119030.68
3423 Electronics Trades Workers,Female,"e. $180,000 or more",69,69,17274896,69,5948446.2,66,333418.08,5,8576.61,66,341994.69,69,6356534.44,2,16675.88,67,12663678,67,4483768,10,77796,4,28601,2,78618,0,0,0,0,3,34296,2,61174,48,90765,13,5366,41,559314,41,239695,69,17676654,20,93589,11,16850,13,3935,2,9058,54,97346,57,220778,4,816,4,8106,2,5598,36,83159,45,32307,66,401399,9,158587,20,217713,0,0,20,1067845,15,271228.79,1,40914,0,0,2,2389,19,2100816,19,859872.54,21,3447944,11,181366,13,7733,13,-7782,11,969.05,33,1158764,26,621262,23,84724,34,569692,10,154159,24,-271073,34,-116914,3,658,2,13221,1,12500,9,38135,2,208814,3,12338,4,194266,2,66666.55,3,7160,3,2220,0,0,4,19843.03,3,67613.48,0,0,0,0,65,52,39433,0,0,51,37713.67
3423 Electronics Trades Workers,Male,"a. $18,200 or less",1412,1401,14535435,14,17818.88,0,0,0,0,0,0,9,15899.12,0,0,1350,12909618,1126,1690748.81,139,239322,23,83308,17,18195,332,2419617,38,150058,3,16611,2,22582,704,333849,45,7690,144,134894,144,55571,1406,15602704,111,197731,36,21960,225,41575,23,94513,275,154742,409,510521,13,3015,15,19328,3,714,111,52034,236,101255,547,840935,17,272094,76,357876,9,-29969,53,140521,14,13491.7,35,167117,2,15672,23,138741,25,96466,1,9754.24,32,224112,56,1268208,23,60989,18,32947,18,3779.48,98,2249409,83,1518308,47,251194,97,1177463,35,114375,63,-811931,98,-697556,12,24573,5,14178,0,0,24,154068,147,17904653,135,18529469,154,-859623,1,465.22,0,0,0,0,7,1919.76,0,0,372,7490260.25,23,324640.87,3,4666.69,556,341,202061,42,11985.47,14,2679.07
3423 Electronics Trades Workers,Male,"b. $18,201 to $37,000",3008,3008,84466862,3008,5672664.7,2047,1068714.06,1,366.6,2047,1068452.34,2511,5242409.57,2,5290.2,2930,77820493,2800,11117060.91,486,1565081,67,326875,61,179828,609,3454546,104,1133220,15,162146,11,191416,1687,904715,129,19951,358,485004,356,207521,3008,89669121,869,1929950,236,233093,1463,324601,146,323528,1702,1526151,2187,4337323,51,23326,46,38874,20,19345,692,161287,1137,292295,2378,5040072,105,2226101,205,1982314,11,-30125,205,1213437,62,35937.14,84,858687,3,4373,62,430261,69,343124,52,14396.75,103,811402,139,2718821,91,166228,74,42366,72,9086.71,290,5347857,265,3802465,138,528215,291,2812808,90,476295,205,-2271926,295,-1795631,19,54416,19,43105,0,0,83,165656,302,6389302,283,4473340,311,1677483,193,128602.95,14,14562.65,151,6080.34,2847,1193906.35,7,1690.42,780,16360319.14,43,568870,12,78889.46,1314,1007,572375,117,29306.08,51,6607.09
3423 Electronics Trades Workers,Male,"c. $37,001 to $80,000",12029,12029,701859386,12029,126492580.4,11272,12902135.45,38,27903.52,11273,12930038.97,12028,136968570,834,2463477.82,11974,705694589,11933,153315894.3,2859,9887242,249,2339510,192,912855,277,778369,59,388671,78,651789,81,2157120,6997,3741470,637,140523,1828,2778158,1824,1188539,12029,736859686,5010,13894494,1633,1869973,7939,2036195,580,976430,9429,10954822,10824,29731914,384,152283,191,155274,138,275599,4442,1490446,6518,1598913,11196,34719172,628,9835512,1312,9908933,27,-160835,631,3869844,274,362465.29,128,1982905,17,111259,231,1363881,356,1449759,355,284455.71,469,3988338,627,9661045,322,483698,297,166960,277,43313.37,1714,29152220,1593,19343979,947,2914214,1731,14871623,482,2779922,1261,-10757518,1744,-7977596,114,367590,36,172133,6,74049,707,1219656,806,26419705,784,21936269,849,3704360,559,1087729.64,92,180038,447,50775.76,8559,1834093.45,423,154229.57,1823,33098042.83,184,2245780,30,140566.64,6354,5638,3077719,604,169503.86,498,71833
3423 Electronics Trades Workers,Male,"d. $80,001 to $180,000",7120,7120,787631820,7120,205669667.2,6751,14927433.37,330,361316.66,6773,15284480.03,7117,219197114.5,244,1280216.54,7093,761466866,7079,221671282,1805,9255854,231,5124925,257,3630700,28,63376,9,41162,91,1225102,108,2878330,4233,3777985,754,335455,2226,7095967,2220,3027799,7120,815292812,2920,9578693,1082,1583753,3998,954565,286,616584,6148,8574584,6687,21308179,400,175560,180,567838,216,502101,3322,1455857,4779,1758256,6910,27639519,579,6948650,1669,14459142,19,-254754,778,9227276,408,1132469.16,70,3937600,9,410016,138,871564,498,4800141,498,1393546.37,651,11554611,827,16174033,510,1525526,462,436586,437,310702.77,1808,37183310,1689,23810631,1083,3993035,1840,18083554,521,3447172,1325,-12151082,1847,-8703910,112,374299,53,422951,2,60000,793,1775905,336,9388189,351,6887627,386,1791314,215,896791.9,108,289542,195,50935.63,0,0,374,888612.45,266,3660920.3,16,238351,5,15388.03,5676,5100,3170256,597,225668.89,1994,661818.32
3423 Electronics Trades Workers,Male,"e. $180,000 or more",882,882,222318553,882,76721305.22,870,4368913.62,60,137383.94,869,4491000.99,881,79121163.68,4,21796.88,871,180161831,867,66224460.93,222,2421688,82,2986806,106,5669289,3,7428,2,6776,13,181580,8,192936,534,870941,155,134382,378,5615869,378,2406299,882,227644336,334,1461535,161,359171,373,90392,41,93588,745,1320228,799,3324914,61,33536,28,132654,75,292614,480,487659,671,459281,849,5301544,134,2267184,301,3070925,2,-13554,158,7076069,88,1155718.8,15,1522477,6,281592,11,140772,136,8533131,136,3503172.1,170,19287713,155,5228004,180,3278209,163,627116,170,1717920.68,315,8644661,291,5254037,200,945000,317,4247630,88,1002339,231,-2804345,319,-1802006,38,69956,9,49275,1,30000,167,508735,31,1129402,38,706241,44,193600,22,213159.04,13,30637,23,10675.52,0,0,104,1540512.01,5,30053,0,0,0,0,831,646,448699,69,22312.78,593,342592.46
3424 Telecommunications Trades Workers,Female,All,552,552,30625940,499,5864235.22,448,555072.3,12,12874.25,448,567946.55,480,6247304.63,21,66796.65,548,29283874,533,6690025.5,75,252599,17,218352,13,149568,59,284949,19,185382,2,6523,2,64221,315,156529,14,910,150,360927,150,154580,552,31791221,165,383808,78,116947,343,101647,22,21534,366,376737,450,1000673,12,2210,11,5147,3,4218,242,66427,230,52792,471,1165281,20,336717,69,387131,3,-48327,26,290547,9,33827.18,6,102746,0,0,10,120004,13,144273,12,33416.07,19,614297,14,191590,7,13775,6,3187,4,173.52,74,1065425,73,718637,45,89446,77,538590,19,99282,59,-380530,78,-281248,2,20,1,1398,1,2000,17,31714,20,623925,18,403441,21,193315,10,75964.77,2,4393,9,3249.52,309,98503.46,21,51591.39,102,2061398,4,44018.64,9,39595.18,310,261,141171,38,10515.11,68,17884.38
3424 Telecommunications Trades Workers,Male,"a. $18,200 or less",695,685,7355529,6,2322,0,0,0,0,0,0,1,1197.62,0,0,664,7020839,584,1040462.17,102,237629,9,40828,12,12377,137,858190,12,77252,3,16439,2,18741,297,173662,22,3536,87,96694,87,41278,691,8101963,53,119090,23,45895,203,46312,12,25939,170,82480,261,319716,7,999,6,1296,0,0,48,5947,138,44540,327,402187,2,8170,23,90826,5,-65323,27,83740,7,481.84,11,88611,0,0,8,42597,10,6664,0,0,13,129662,27,301438,7,15212,6,7398,5,35.35,48,1249237,46,863759,22,136004,49,644172,14,65681,35,-460379,49,-394698,2,4231,2,17564,0,0,8,29689,54,2385425,42,2630141,56,-308902,0,0,0,0,0,0,5,1124.38,0,0,68,1421227,1,1378,5,18054.74,221,157,92868,20,4947.55,14,609.47
3424 Telecommunications Trades Workers,Male,"b. $18,201 to $37,000",1859,1859,52289891,1859,3526370,1237,652661.71,1,369.8,1237,652818.48,1552,3228391.01,0,0,1798,47461966,1706,6927690.98,469,2576785,35,183434,45,107020,393,2349953,47,458567,9,108508,12,173428,821,328528,46,16058,228,505400,228,216547,1859,56216631,585,1417962,210,629475,1289,381848,92,139407,1097,905085,1484,3473777,32,9666,14,37140,5,2728,424,87443,728,177897,1567,3925714,11,200326,97,798757,6,6924,71,453871,15,31050.92,42,369732,0,0,18,96847,26,68759,19,2868.29,31,162697,65,701112,19,48820,16,22399,17,4030.98,151,2580239,136,1806675,81,296479,151,1473127,42,173558,111,-1169600,153,-996042,18,51649,7,12998,3,37286,51,99136,139,3773807,123,2333813,142,1395931,96,96732.8,11,12475.31,84,4102,1783,750927.94,6,3329.14,217,3762586.63,18,282653.7,65,318202.5,610,487,259510,55,12858.73,21,257.82
3424 Telecommunications Trades Workers,Male,"c. $37,001 to $80,000",6678,6678,401573932,6678,74077141.08,6402,7609549.51,16,6894.95,6402,7616444.46,6674,80217227.32,185,573924.58,6607,400014174,6567,87865498.1,1986,10517268,141,1118033,162,577470,218,761346,29,151282,73,733879,57,1494888,3581,1730356,276,47417,1726,2797508,1726,1196504,6678,424648808,2321,7346854,1333,4397076,5686,1704979,269,369894,5300,6263559,6225,20082362,188,73805,110,145229,100,146376,2555,698919,3840,996790,6391,23006483,130,1504822,1007,17202831,22,-319170,294,1995073,151,147957.06,77,1112233,5,32581,65,436427,137,623824,137,126587.24,206,2056810,374,6606947,155,666332,139,201919,145,34387.27,849,14096223,793,9767340,436,1387003,862,7645580,212,1123367,653,-5827067,865,-4703700,80,169919,25,68524,5,91094,361,757886,312,24607055,306,21786300,322,2656495,213,676787.94,95,209504.4,177,31879.56,4284,898493.68,284,143356.27,389,6325769.7,42,437909,85,372804.31,3303,2882,1637793,381,127810.37,281,32972.74
3424 Telecommunications Trades Workers,Male,"d. $80,001 to $180,000",5688,5688,594040226,5688,151237555.5,5564,11575714.53,299,337476.78,5569,11913191.31,5688,161976787,73,334892.86,5670,577287834,5660,161555639.9,1086,7454789,128,2342825,158,1890042,14,37819,2,6430,98,1050578,153,5221005,3216,2671183,502,154815,3127,6539131,3126,2800601,5688,613939546,1487,4559066,1103,3909911,4940,1239393,163,280034,4951,5966564,5488,15954968,275,101823,128,176550,186,528296,2780,954060,3870,1207155,5545,19880029,357,2865137,1966,16693461,28,-61818,440,3350983,272,515152.61,21,688100,14,172417,40,259698,276,2751580,276,793435.15,365,7300482,526,8417373,257,351186,246,121851,234,47497.81,1175,21753833,1075,12753528,647,2007890,1186,10956733,393,2604268,797,-6569398,1190,-3965130,59,201869,25,79665,5,101481,416,844704,127,4213423,146,2817154,152,1306881,88,477999.18,143,376440,102,31416.29,0,0,237,526226.33,83,797535,8,83768,7,26088.42,4243,3770,2347996,539,212207.16,1265,363772.84
3424 Telecommunications Trades Workers,Male,"e. $180,000 or more",193,193,45148962,193,15220056.9,190,875611.12,25,65158.86,191,940769.98,193,15763859.61,1,4983,191,31843530,189,11079514,31,212399,19,801974,25,1536029,0,0,0,0,8,123288,13,655345,117,334580,26,28677,109,2116005,109,906834,193,46105799,57,198773,28,37215,130,33713,7,18682,149,210122,175,498505,14,13199,6,49223,9,55443,105,171960,140,84403,192,950382,20,197218,82,1024423,4,-56314,43,3354821,21,757224.76,2,278262,3,63406,2,42521,34,3002877,34,1131995.66,38,5970197,28,1103590,21,19493,21,18075,18,69648.18,79,1823498,64,855490,35,145521,78,971044,35,337720,44,-486277,79,-148557,9,32875,0,0,0,0,35,77649,10,1174556,11,880877,12,293679,7,137924.56,13,43777,9,5417.31,0,0,30,466449.06,1,4983,0,0,0,0,174,139,87248,7,2588.13,128,63389.57
3511 Bakers and Pastrycooks,Female,"a. $18,200 or less",953,950,10038162,8,3201.54,0,0,0,0,0,0,3,1647.7,0,0,938,9418964,831,858756.64,85,111579,2,604,2,441,97,565912,23,142674,0,0,1,3681,493,143895,11,3069,42,29290,42,12541,952,10455755,35,49336,13,4031,228,44728,13,102479,151,44729,279,245303,2,138,7,6544,2,3907,62,9621,130,20580,332,306973,2,23581,19,19405,3,-22540,23,16020,5,5472.34,14,48931,0,0,10,30744,8,11641,0,0,12,49897,17,249485,10,26470,8,6904,7,1136.59,43,564289,37,394358,10,38640,43,301034,15,41641,28,-211384,43,-169743,2,62,1,143,1,15000,6,5880,57,1277501,53,1204981,56,63153,0,0,0,0,0,0,6,1553.84,0,0,82,921071,3,31751,1,2030,284,203,100164,24,5321.15,14,1741.68
3511 Bakers and Pastrycooks,Female,"b. $18,201 to $37,000",1758,1758,48959315,1758,3228266.82,1153,586951.96,7,1672.72,1153,588555.12,1486,2895198.68,1,3397.85,1749,46639471,1694,5583784,240,304361,2,1318,12,10025,249,1376514,84,1052593,2,13562,2,13474,983,430866,31,2518,128,116473,128,49699,1758,50867004,349,492905,103,64275,1306,368028,86,170739,975,524506,1439,1620453,6,2727,18,8038,11,11546,476,78643,769,121647,1477,1881358,15,320541,44,142935,2,-1952,58,305507,14,7741.22,9,66139,1,2851,15,141018,21,66300,17,4273.03,24,236055,22,240865,19,50120,15,33680,16,3243.53,117,1408191,110,863430,51,107410,116,646735,29,197664,89,-407048,118,-209384,11,58055,2,736,3,31000,11,7304,68,1268647,63,947028,67,287920,34,16954.25,2,2034,31,1117.43,1691,711819.61,2,4388.58,180,2718021,13,128153,18,82117.17,608,484,249860,72,13276.31,37,5889.7
3511 Bakers and Pastrycooks,Female,"c. $37,001 to $80,000",2434,2434,120317169,2434,18529071.51,2180,2074925.28,9,4950.28,2180,2079875.56,2433,19844395.86,37,91662.79,2427,119437680,2419,21851172,354,361309,16,78250,18,55152,74,281231,60,428011,4,22114,4,49240,1495,750503,26,13516,257,474744,257,203301,2434,124024556,743,1043590,172,105091,2126,694842,103,124535,1776,1163480,2293,3131538,18,7302,37,34426,5,6953,901,192805,1431,234151,2319,3707319,14,233008,98,469106,8,-1836,89,1271362,32,41703.04,9,108691,1,57,22,102141,28,126181,28,20326.85,34,428110,35,477729,22,73991,19,42917,21,7740.4,156,2521884,139,1348189,64,135584,158,1125634,58,346682,99,-434205,159,-87523,19,23874,7,16825,2,36200,57,62908,55,2429138,56,2267323,59,146970,32,40017.14,7,6970,41,6641.12,2323,637771.88,36,15908.27,160,2295871,8,86440.23,11,54588.97,1031,880,450053,122,17485.94,82,9188.96
3511 Bakers and Pastrycooks,Female,"d. $80,001 to $180,000",65,65,7008930,65,1809859.1,65,137889.72,3,3225.9,65,141115.62,65,1921670.94,4,15700.75,65,4205793,61,992590,7,8202,3,27449,1,11635,0,0,0,0,0,0,0,0,48,112168,7,709,27,428910,27,183810,65,7169007,17,42259,3,4482,43,9221,1,160,34,26324,57,82446,1,145,2,14699,1,5303,23,4305,35,11611,62,160077,0,0,16,283171,1,22966,31,1788524,10,247297.61,0,0,0,0,1,5697,4,112560,4,31241.96,4,247027,6,162849,6,14123,5,5907,5,398.29,19,884085,14,324921,9,43123,19,367179,12,225204,7,-76342,19,148862,1,64,0,0,2,36009,2,5559,2,219155,2,188719,2,30436,1,8760.47,0,0,8,5489.73,0,0,4,21883.51,4,24448,0,0,0,0,52,44,31289,6,2214.8,27,13661.61
3511 Bakers and Pastrycooks,Female,"e. $180,000 or more",12,12,3553194,12,1281501.3,12,71063.88,1,4342.89,12,75406.77,12,1383106.66,0,0,10,843553,10,254155,2,90054,0,0,0,0,0,0,0,0,1,3371,0,0,8,6406,0,0,4,841870,4,360800,12,3600327,2,9773,0,0,7,1044,0,0,3,1356,8,12173,1,122,0,0,1,1859,5,1124,4,1855,10,47133,1,8133,5,116706,0,0,7,943443,3,121645.72,0,0,0,0,0,0,3,494101,3,192651.67,3,988203,2,102900,1,28,1,28,0,0,6,109335,4,53547,3,8637,6,45236,4,12831,2,-10916,6,1915,0,0,0,0,1,30000,0,0,1,71619,1,57894,1,13725,1,5076.12,1,506,1,1000,0,0,0,0,0,0,0,0,0,0,12,11,9195,0,0,11,9195
3511 Bakers and Pastrycooks,Male,"a. $18,200 or less",1281,1280,14373602,13,18000.5,0,0,0,0,0,0,5,16332.87,0,0,1241,12674222,1080,1256471.55,100,126106,3,11481,1,757,237,1805202,17,98977,2,10072,1,11499,451,145820,16,8042,47,56329,47,22302,1280,14863570,56,63967,21,14940,329,67197,16,72147,179,53100,398,271351,5,5592,4,2278,0,0,75,14942,198,36796,489,433777,1,53392,24,44112,3,892,38,67703,6,5264.64,13,66173,0,0,8,104046,9,29672,0,0,11,305575,16,242632,8,5819,6,1194,4,103.07,56,876390,50,607075,23,58248,56,443358,21,81463,35,-313754,56,-232291,8,14206,3,2075,0,0,16,102818,63,3538872,56,3739059,66,-247102,0,0,0,0,0,0,8,1667.63,0,0,91,1616101.18,3,35503,13,54676.5,245,175,82440,33,4673.55,12,398.21
3511 Bakers and Pastrycooks,Male,"b. $18,201 to $37,000",3060,3060,85349749,3060,5650190.55,1810,935731.59,0,0,1808,934661.95,2589,5089140.56,0,0,3028,80878355,2917,9879325.81,324,436087,11,46702,19,26022,534,3045674,86,925013,9,67067,2,25054,1254,484872,76,29354,210,209647,210,89788,3060,88760045,607,1031627,112,82470,2276,666166,120,227477,1522,692565,2505,2700305,17,8073,42,21653,8,16231,688,144828,1418,279842,2605,3391035,12,200741,101,621883,4,-15877,136,1061587,19,26394.81,24,135237,3,7531,14,173905,22,109300,17,6256.12,34,427528,65,1486277,32,88208,21,6796,23,9498.5,234,3750873,213,2248724,92,249798,234,1694068,91,527548,145,-969265,236,-441717,16,39169,7,40233,5,100200,68,113406,127,4631147,123,3584541,130,1005163,92,62138.69,7,2914,111,5188,2968,1246375.11,7,2342.98,197,3225340.14,19,184838.12,58,289470.72,763,618,321942,77,14544.35,29,712.31
3511 Bakers and Pastrycooks,Male,"c. $37,001 to $80,000",9373,9373,503861232,9373,84528109.93,8723,9153991.15,5,3943.7,8723,9157934.85,9373,91453905.75,110,278820.86,9352,504909652,9328,98216193.28,1282,1422596,55,358994,68,199194,269,884064,61,472707,29,260628,7,139531,4247,1588040,218,32446,1130,1639735,1124,702523,9373,519194591,3156,5229714,512,390995,8271,2650952,229,288752,6417,4053249,8830,12613662,86,31271,120,102676,44,39615,3445,765716,5743,1079140,8945,15317863,40,517655,411,2131147,9,-87479,384,3876108,133,96035.89,40,295184,5,87550,56,359878,128,609701,128,116459.52,166,1683682,257,3527811,110,252923,96,49290,98,28333.69,746,11106865,674,6324843,322,702518,746,5090018,268,1631644,485,-2642158,753,-1010514,85,181503,39,68469,8,109972,420,570417,314,10582050,309,8822519,316,1569679,225,365882.51,28,39023,241,31558.06,8394,1894449.95,135,54025.22,344,4880462.57,41,443652,66,329789.48,3265,2838,1440859,359,84009.64,193,11668.6
3511 Bakers and Pastrycooks,Male,"d. $80,001 to $180,000",656,656,64612813,656,16001732,645,1263663.57,37,41186.03,645,1304849.6,654,16985758.67,5,45662.49,652,53305604,648,13607030,129,485672,8,85064,17,320408,7,16100,1,18318,11,134644,3,79171,319,499397,47,22201,181,2800657,181,1200234,656,66230090,217,460848,47,58420,544,148726,4,5950,462,404407,611,1078351,11,3730,15,82351,19,62829,254,114702,393,97009,630,1617277,13,181815,104,1241443,5,60015,132,4118372,34,141511.23,1,20837,0,0,7,95649,39,984557,39,283791.41,52,2551495,50,856453,29,9253,29,9253,27,1400.84,141,3608346,116,1322570,53,175271,143,1331965,79,1119353,66,-340813,145,778540,28,92494,3,4618,2,35400,71,141440,22,2889345,23,2489659,24,383922,17,113647.46,11,21591,53,24819.74,0,0,35,257896.94,5,127043,0,0,0,0,419,383,227893,40,15612.64,154,51837.01
