Income year,Lodgment method,Gender,Taxable status,State / Territory,Age range,"Number of individuals
no.","Salary or wages 
no.","Salary or wages 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Taxable income or loss 
no.","Taxable income or loss 
$","Net tax 
no.","Net tax 
$"
2010–11,e-tax,Male,Taxable,VIC,k. 65 - 69,1955,1430,72121924,1955,112647407,320,626487,125,162820,700,148013,20,40570,920,792272,1265,963080,260,92265,1715,5070552,145,1800888,125,979821,65,-521840,190,457981,100,5066362,95,2832238,100,2222528,1955,107539099,1955,17329658
2010–11,e-tax,Male,Taxable,VIC,l. 70 - 74,530,210,7973091,530,29756228,50,81739,20,8062,80,20232,5,3952,120,172083,355,489392,90,40120,440,1602889,60,1152554,50,559804,10,-66721,60,493083,20,2260746,20,1590387,25,670877,530,28151037,530,4171269
2010–11,e-tax,Male,Taxable,VIC,m. 75 and over,625,55,1873584,625,32400176,15,18881,5,2129,15,2246,5,442,35,25334,430,411733,95,33323,490,958388,90,757226,40,393969,10,-106570,50,287399,20,677626,20,222748,20,454878,625,31433504,625,3830352
2010–11,e-tax,Male,Taxable,WA,a. Under 18,570,550,12428942,570,13103012,40,67928,55,36125,445,122000,100,62367,265,207948,95,6276,30,5025,485,512700,5,12160,0,0,0,0,0,0,5,135266,5,43618,5,78912,570,12590312,570,704809
2010–11,e-tax,Male,Taxable,WA,b. 18 - 24,23185,22965,898881940,23185,935849522,5185,11215568,2780,2132963,16610,4218728,3320,4169769,10915,8781704,6080,992691,1825,258823,19810,32335515,310,748108,25,129371,185,-1729459,210,-1600088,390,10723933,335,4893038,415,5849748,23185,903505078,23185,131423448
2010–11,e-tax,Male,Taxable,WA,c. 25 - 29,22525,22235,1332123337,22525,1371606961,7425,17707929,3625,3282378,15675,4197381,2645,5313405,12825,12813515,7995,2140525,2775,520675,20150,48120831,580,2114616,75,291903,1005,-10279750,1080,-9987847,725,34396818,645,23736376,745,10540964,22525,1323307102,22525,269455101
2010–11,e-tax,Male,Taxable,WA,d. 30 - 34,16745,16460,1210483289,16745,1243424727,5575,13403432,2765,3012509,11465,3059099,1820,3801791,10245,10626719,6890,2165092,2490,518380,15190,39796020,485,3096145,110,419941,1165,-14334755,1275,-13914814,550,21657862,530,12344171,580,9162554,16745,1203499575,16745,277153805
2010–11,e-tax,Male,Taxable,WA,e. 35 - 39,13700,13440,1111357961,13700,1144719015,4155,10253506,2170,2670932,9175,2359133,1215,2313600,8615,9090294,6105,1964298,2125,466275,12555,33637080,380,3072955,160,723218,1000,-13253880,1165,-12530662,490,26793799,470,17556864,520,9058486,13700,1110781595,13700,273388373
2010–11,e-tax,Male,Taxable,WA,f. 40 - 44,11250,11000,958211841,11250,997661343,3130,7530561,1610,2332504,7335,1808232,815,1536463,7075,7548555,5320,1835602,1705,429204,10355,28207998,325,3110731,170,879876,890,-12594986,1060,-11715110,375,25310483,385,16153000,405,8852084,11250,969218791,11250,246643698
2010–11,e-tax,Male,Taxable,WA,g. 45 - 49,9500,9240,797365447,9500,838844788,2235,5185633,1140,1746321,6165,1506493,545,876851,6030,5746502,4745,1616386,1390,342385,8775,22575984,330,2428776,155,1032721,750,-11088136,905,-10055415,325,27014854,320,18532045,340,8381627,9500,816061004,9500,207730540
2010–11,e-tax,Male,Taxable,WA,h. 50 - 54,8040,7790,653371878,8040,687509455,1730,3701584,840,1318901,5075,1168652,305,437537,5015,4548217,4210,1525295,1060,367897,7380,17381148,260,2401294,180,1134305,675,-9981416,855,-8847111,275,19539885,280,13465338,290,5842992,8040,670078720,8040,167547286
2010–11,e-tax,Male,Taxable,WA,i. 55 - 59,6165,5805,440641732,6165,493946963,1145,2444379,485,597084,3720,833918,155,263506,3690,3236518,3475,1217492,740,193726,5670,12929728,260,2255896,180,1108270,440,-6338148,620,-5229878,230,11810626,235,5872028,240,5713369,6165,480983785,6165,111654093
2010–11,e-tax,Male,Taxable,WA,j. 60 - 64,4160,3740,246111526,4160,288765660,690,1409165,290,572553,2335,492956,70,60230,2245,1755890,2350,889842,485,116155,3710,7917422,210,2354004,180,1166914,225,-3009164,405,-1842250,185,11460798,180,5716309,195,5667376,4160,280846333,4160,60066209
2010–11,e-tax,Male,Taxable,WA,k. 65 - 69,1200,900,49846930,1200,74109294,165,366868,50,51144,495,101301,15,8355,505,386475,715,254373,145,36318,1025,2400671,75,1880260,75,743720,35,-302901,110,440819,60,3070837,60,1361441,60,1697791,1200,71670942,1200,12709069
2010–11,e-tax,Male,Taxable,WA,l. 70 - 74,335,150,6701997,335,18129214,25,36359,5,17220,65,12278,5,989,70,39169,210,204262,50,25035,275,759365,35,763501,20,354008,5,-2280,25,351728,20,826342,20,132322,20,694020,335,17369849,335,2540034
2010–11,e-tax,Male,Taxable,WA,m. 75 and over,395,35,1104386,395,23881170,10,27045,5,3005,15,2362,0,0,20,24773,250,223742,50,34877,300,628332,30,235018,20,231043,5,-13198,20,217845,5,1054566,5,1006273,5,48293,395,23238022,395,3847648
2010–11,Other self-preparer,Female,Non Taxable,ACT,a. Under 18,420,340,1793131,415,2000431,5,1833,5,295,90,11434,5,1507,25,5544,30,1371,5,130,115,22232,5,7075,0,0,0,0,0,0,0,0,0,0,0,0,415,1978117,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,b. 18 - 24,1085,1005,7449444,1065,9044312,30,107285,40,9425,255,39156,70,80119,80,27329,110,11176,20,1714,375,276969,5,11699,0,0,5,-6456,5,-6456,5,21124,5,20716,5,408,1065,8841238,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,c. 25 - 29,385,305,2353595,340,3075617,15,14432,15,4272,70,11392,15,37125,30,6841,45,9107,10,1572,125,85136,5,345,0,0,5,-25401,5,-25401,5,31314,5,18716,5,9607,340,2993398,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,d. 30 - 34,295,160,1225958,215,1884221,15,8929,10,1636,30,7226,10,36141,35,11637,30,5827,15,2763,85,75794,5,4180,5,3891,10,-107714,15,-103823,10,227989,10,74991,10,-33457,205,1835624,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,e. 35 - 39,330,140,1165819,215,1891975,15,12634,5,4843,25,21830,15,36042,35,12875,45,11634,10,4619,95,162101,5,2182,5,27564,10,-97560,15,-69996,5,92580,5,75526,5,35819,210,1750276,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,f. 40 - 44,265,120,980283,180,1670493,10,7377,5,4467,20,2560,10,8977,30,9036,40,16486,10,1917,70,78337,5,5999,5,43452,15,-84532,20,-41080,10,1182921,10,1184208,10,4751,170,1619778,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,g. 45 - 49,190,80,689041,140,1317127,10,18702,5,5971,30,7738,10,15245,25,7247,35,5106,10,2526,70,75979,5,3683,5,50276,5,-63404,15,-13128,10,99962,5,31898,10,50988,130,1295898,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,h. 50 - 54,170,75,661094,135,1247971,5,6890,5,1120,15,3790,5,1349,10,9910,30,11890,10,1446,45,98071,5,59384,10,27541,5,-56376,15,-28835,5,167214,5,147212,10,-114885,130,1237193,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,i. 55 - 59,200,90,960885,180,1966415,15,17144,5,1006,25,6232,10,8191,35,9910,65,19961,15,1779,95,112464,5,1131,5,24694,5,-117994,10,-93300,10,172105,10,150004,10,44153,175,1828153,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,j. 60 - 64,310,80,763588,305,2998276,15,21860,5,3129,20,4401,5,1830,25,9332,95,27826,20,5660,130,117668,15,25296,10,48045,10,-121971,20,-73926,10,124348,10,143409,10,-85354,295,2964946,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,k. 65 - 69,365,55,553840,365,3975286,5,8498,5,440,5,780,5,610,15,10677,105,72275,20,6017,135,163013,10,26635,20,137174,5,-41439,25,95735,5,121558,5,143657,5,-15299,360,3849851,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,l. 70 - 74,325,30,228395,325,3493666,5,62,5,1575,5,150,5,1368,5,1279,85,27548,15,3483,105,101833,15,29770,10,70240,5,-107861,10,-37621,5,42043,5,21677,5,20028,325,3471396,0,0
2010–11,Other self-preparer,Female,Non Taxable,ACT,m. 75 and over,580,10,93056,580,7007948,0,0,0,0,0,0,0,0,5,51,155,103710,20,3811,185,146335,20,43059,5,54193,5,-15115,10,39078,5,23226,5,34459,5,-11233,580,6852789,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,a. Under 18,10,5,30231,10,78506,0,0,0,0,5,223,0,0,5,32993,0,0,0,0,5,33216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45687,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,b. 18 - 24,1460,1395,9811444,1440,11094052,10,2142,50,12266,210,32748,25,38357,95,1371175,10,1262,10,1377,320,1461173,0,0,0,0,0,0,0,0,10,22943,5,18263,5,3555,1415,9861254,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,c. 25 - 29,1465,1400,10521918,1450,11228791,15,7685,45,10154,205,73935,20,57573,95,839454,20,2467,20,2674,315,1018506,5,281,5,3875,10,-74871,10,-70996,10,44483,5,5327,10,37246,1415,10595798,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,d. 30 - 34,555,450,3346578,505,3478995,5,4936,15,8063,50,9771,5,2848,30,132237,5,1228,10,1062,90,160195,5,7591,5,7937,30,-208087,30,-200150,5,3893,5,1483,5,2410,475,3511181,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,e. 35 - 39,170,55,426464,130,151082,5,1233,5,54,5,490,5,12432,5,26069,5,1690,10,1613,25,44751,5,105,10,47741,45,-433678,55,-385937,5,18752,5,7923,5,10829,80,518746,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,f. 40 - 44,140,35,262104,115,-114246,0,0,5,7379,5,2440,5,5870,10,66456,5,2068,10,5808,30,94078,5,1268,15,55330,55,-538882,70,-483552,5,26108,5,13059,5,13049,50,338322,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,g. 45 - 49,130,20,142903,100,-327303,5,3157,5,1661,5,743,0,0,5,6157,5,1076,5,1751,15,21040,5,27278,10,32998,60,-608459,70,-575461,5,17499,5,30051,5,-12552,35,206430,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,h. 50 - 54,155,20,143443,130,-302561,5,1431,5,2411,5,207,5,650,5,11557,10,4750,5,977,20,55543,5,60,25,136041,80,-647212,105,-511171,5,3723,5,1072,5,-1028,45,312041,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,i. 55 - 59,140,15,145921,110,-533738,5,4623,5,269,5,10,5,2800,5,1816,0,0,5,2052,15,18692,5,13919,15,38199,70,-813554,85,-775355,5,3432,5,3550,5,-118,30,225385,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,j. 60 - 64,100,10,103629,70,1108,0,0,5,417,5,300,0,0,5,641,5,546,5,300,10,41239,0,0,15,100970,40,-291856,50,-190886,5,5334,5,2608,5,2726,25,221295,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,k. 65 - 69,50,5,24479,35,22178,0,0,0,0,0,0,5,53,5,683,5,790,5,22,5,1548,5,50992,5,55427,15,-171778,25,-116351,0,0,0,0,0,0,15,100376,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,l. 70 - 74,20,5,10991,15,33704,0,0,0,0,0,0,0,0,0,0,5,1004,5,777,5,49693,0,0,5,21291,5,-36583,10,-15292,0,0,0,0,0,0,5,66486,0,0
2010–11,Other self-preparer,Female,Non Taxable,Overseas or unknown,m. 75 and over,25,0,0,20,182677,0,0,0,0,0,0,0,0,0,0,0,0,5,3500,5,30072,0,0,5,13824,5,-16109,10,-2285,0,0,0,0,0,0,10,161348,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,a. Under 18,5315,4230,21776109,5045,26298022,35,21395,75,16411,1580,226829,130,90236,480,95688,335,15467,70,5294,1890,475644,25,16679,0,0,5,-18885,5,-18885,5,21010,5,2316,5,17820,5035,25848570,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,b. 18 - 24,14205,12635,98500048,13430,124395629,420,388902,580,206157,4150,817407,1195,1649815,1690,587840,1645,265590,345,39197,5815,4089762,30,23277,5,31287,15,-185445,20,-154158,85,853668,60,760812,85,131902,13385,120731337,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,c. 25 - 29,7270,3750,29213986,4485,41950029,135,169375,205,113056,990,264731,280,607248,605,262768,495,116652,215,29625,1675,1674844,10,13931,15,73070,60,-535543,75,-462473,135,2039597,100,1404606,140,562808,4415,40732127,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,d. 30 - 34,8830,2450,19410024,3485,32842073,160,226109,175,79873,715,159599,185,345079,565,355490,540,155700,230,38368,1395,1482893,35,182168,35,120924,130,-1252663,165,-1131739,205,8067646,175,7408729,210,418367,3360,32056556,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,e. 35 - 39,9860,2010,16457937,3400,33100207,200,216370,140,191632,660,154058,180,238486,550,365373,620,128003,265,37338,1410,1812769,40,69787,65,327044,130,-1176039,195,-848995,215,4990483,200,4645317,230,97645,3260,32407431,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,f. 40 - 44,8920,1810,14962304,3265,32575259,180,256235,120,68021,595,132185,125,132729,485,318573,635,147318,245,72980,1375,1578131,45,194737,85,427391,120,-1202794,205,-775403,210,4672139,200,4123265,225,482666,3125,31364740,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,g. 45 - 49,7025,1735,14554281,3085,30590707,175,472980,95,62886,605,135348,150,199822,475,231051,640,245008,205,61308,1365,1857649,55,219559,80,425993,110,-943490,190,-517497,180,6418741,185,8478987,200,-901383,2970,29776166,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,h. 50 - 54,5220,1545,13552911,3015,27093886,150,204192,80,72076,510,113412,100,74637,375,259019,610,227585,190,42523,1195,1499387,50,198141,105,637233,120,-1303719,220,-666486,150,14666980,155,14418387,160,-555621,2910,27025823,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,i. 55 - 59,4750,1750,16697982,4015,37125953,200,265285,85,41854,575,126145,80,77350,495,234589,965,223581,265,56197,1595,1954281,55,220422,155,870938,120,-1804580,275,-933642,180,7869228,175,8123462,185,-711614,3905,37290770,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,j. 60 - 64,7440,1825,16268121,7135,54102022,185,209018,60,30190,465,93685,50,27461,450,180741,1580,761721,290,74006,2155,2289468,140,511918,275,1763920,110,-1347409,385,416511,160,4458949,155,3958617,165,-113165,7015,53000088,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,k. 65 - 69,8750,1090,9602591,8620,62559284,85,89814,40,15284,225,45684,30,9842,280,137828,1440,595214,260,54634,1865,1832293,175,439016,295,2295456,70,-410287,365,1885169,75,1584238,75,1258248,85,-269192,8585,60773803,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,l. 70 - 74,7860,460,3402737,7800,48518265,35,37995,10,12675,55,11307,15,21584,95,40915,1030,554183,175,36680,1320,1007296,150,328801,135,1093054,25,-303431,160,789623,45,23983415,45,24388619,50,-133619,7775,47797483,0,0
2010–11,Other self-preparer,Female,Non Taxable,NSW,m. 75 and over,12745,255,1913922,12680,91771158,15,23278,10,1558,20,3683,5,330,65,43029,1900,1180537,295,155535,2255,2104429,265,423056,220,1750328,20,-86444,240,1663884,35,505686,40,568389,45,-73127,12650,89645120,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,a. Under 18,160,145,912919,155,1031047,5,150,5,2746,85,12841,5,225,20,3339,10,995,5,110,90,20721,5,2156,0,0,0,0,0,0,5,15691,5,669,5,15022,155,1010321,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,b. 18 - 24,310,290,2484295,310,3148838,15,12063,10,2629,110,17683,10,5185,35,14574,20,754,10,1881,135,54982,0,0,0,0,5,-4333,5,-4333,5,20285,5,26820,5,-6535,310,3093855,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,c. 25 - 29,260,225,1849967,250,2527743,5,13807,5,1056,75,12596,5,17869,25,7595,10,1448,15,1762,85,56819,0,0,0,0,5,-43065,5,-43065,5,107645,5,95683,5,12429,245,2486985,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,d. 30 - 34,175,130,1021929,160,1820021,5,4582,5,1442,50,8957,5,6463,15,4907,10,1244,10,1208,65,31149,5,12758,5,10073,5,-26560,10,-16487,5,65961,5,63635,5,2326,155,1789396,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,e. 35 - 39,150,105,785805,125,1496045,5,15196,5,3587,40,7739,5,6717,15,4169,10,1272,10,2325,60,41240,5,9139,5,7932,5,-29304,5,-21372,5,-11426,5,52167,5,-13289,120,1469391,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,f. 40 - 44,120,80,676547,105,1232526,5,840,0,0,35,5262,5,10993,5,1055,10,1315,5,7666,50,27251,5,262,5,1906,5,-10153,5,-8247,5,515055,5,681347,5,-163192,100,1291400,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,g. 45 - 49,85,60,485336,70,799006,5,514,5,837,20,3036,5,3088,10,5305,10,722,5,736,30,15360,0,0,0,0,5,-16650,5,-16650,0,0,0,0,0,0,65,794482,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,h. 50 - 54,70,50,384339,65,723474,5,10697,5,135,15,2766,5,5138,10,4386,10,7049,5,3073,30,35684,0,0,5,3071,5,-13661,5,-10590,5,2171,5,2923,0,0,60,689225,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,i. 55 - 59,45,30,321351,45,519978,5,5624,0,0,15,1410,5,119,10,1009,5,2319,5,415,25,11005,0,0,5,2429,0,0,5,2429,0,0,0,0,0,0,45,508974,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,j. 60 - 64,60,30,312925,60,531116,5,2664,0,0,5,1316,0,0,5,372,10,1901,5,437,20,20833,5,7454,5,31978,5,-64110,5,-32132,5,561963,5,561145,5,-206312,60,521735,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,k. 65 - 69,70,15,135941,70,696970,5,1080,0,0,5,300,0,0,5,418,15,10484,5,499,15,15962,5,2323,5,16267,0,0,5,16267,0,0,0,0,0,0,70,681012,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,l. 70 - 74,45,5,21718,40,576253,0,0,0,0,5,112,0,0,0,0,15,13829,5,392,15,15949,5,9093,5,7684,5,-8693,5,-1009,5,13988,5,4379,5,6878,40,560304,0,0
2010–11,Other self-preparer,Female,Non Taxable,NT,m. 75 and over,40,5,35455,40,570484,5,342,0,0,5,32,0,0,5,833,10,4426,5,35,10,10806,0,0,5,15288,5,-3839,5,11449,0,0,0,0,0,0,40,559690,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,a. Under 18,4610,4075,23743266,4515,27542767,40,15855,85,25029,1795,245744,130,95385,445,86222,360,20683,45,4542,2065,504096,5,6777,0,0,0,0,0,0,5,3513,5,2266,5,1247,4510,27040312,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,b. 18 - 24,8160,7350,59460718,7855,74941432,325,299979,370,133736,2870,563308,620,927665,1050,561594,990,133355,215,32279,3705,2723704,10,18922,5,14866,10,-112246,15,-97380,70,485283,45,269681,75,203161,7835,72545606,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,c. 25 - 29,5150,2705,20573867,3220,30325233,170,208623,150,103782,820,180146,170,401193,425,205112,390,88069,170,69338,1215,1284306,5,3350,10,21141,20,-230498,30,-209357,60,1072536,55,996747,70,-931,3180,29267425,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,d. 30 - 34,5485,1645,12990632,2345,22108277,140,186095,90,44798,555,112335,100,209608,355,202499,395,88165,190,36980,955,976863,10,38477,15,30263,75,-556889,90,-526626,110,1559582,105,1630505,115,-215259,2290,21638577,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,e. 35 - 39,5940,1380,10959872,2260,21133549,165,205228,80,52039,525,116376,110,130855,370,178715,435,103880,205,53307,1015,1022779,30,108084,30,148745,90,-772322,120,-623577,125,2562020,120,2632151,135,-254298,2170,21038166,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,f. 40 - 44,5110,1315,11500946,2210,21994178,140,219570,70,45976,485,130545,115,157804,325,199896,415,119252,210,54105,955,1103006,25,81466,30,144931,80,-849201,110,-704270,130,2964970,125,2722798,135,290169,2140,21265500,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,g. 45 - 49,3720,1105,9938059,1955,17820320,130,192778,65,32631,450,139974,75,70163,310,172475,415,106826,180,34904,870,957733,30,89912,45,162334,85,-1199117,130,-1036783,125,4551038,125,4563187,135,-637773,1875,18450997,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,h. 50 - 54,2930,1090,9456086,2000,17633355,135,229537,55,32246,420,84703,65,75291,315,166804,415,110722,140,40696,835,1174980,25,88580,40,192127,80,-958065,120,-765938,90,2304285,90,2624659,105,96322,1920,17144423,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,i. 55 - 59,3010,1160,10808844,2660,24742970,115,148580,40,49381,405,87356,65,70629,310,147399,625,141027,165,34106,1055,1058824,55,373634,90,467736,60,-728668,150,-260932,95,6115394,100,6707350,115,-773030,2595,24959984,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,j. 60 - 64,4525,1120,9575235,4325,33987030,120,139962,25,7881,330,61764,25,20684,255,121643,915,230842,205,63904,1270,969458,115,285550,145,745427,75,-808463,220,-63036,90,2923214,85,3349739,100,-670968,4265,34396922,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,k. 65 - 69,5160,670,5880487,5065,37910118,55,66058,20,29552,135,21723,15,5699,155,78957,770,240086,130,22980,990,685744,110,247731,100,599535,45,-364638,145,234897,65,1131314,65,1008784,75,-83777,5025,37521499,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,l. 70 - 74,4450,210,1453924,4395,26980680,20,23704,5,1770,30,4826,10,2248,45,17223,525,292049,85,22633,665,569761,90,180166,80,499729,15,-204663,95,295066,30,953471,30,979905,35,-12724,4385,26441493,0,0
2010–11,Other self-preparer,Female,Non Taxable,QLD,m. 75 and over,6370,80,546048,6335,41959510,5,4238,5,659,10,1691,5,165,20,17691,775,446992,100,24404,920,803349,135,135466,70,496027,15,-86127,85,409900,15,392537,15,419278,25,-66985,6330,41237048,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,a. Under 18,1835,1490,8229477,1770,9981114,20,8356,20,5147,665,91960,40,24718,290,58346,95,3526,20,1267,795,193867,15,12445,0,0,0,0,0,0,5,3015,5,4979,5,-1964,1765,9793019,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,b. 18 - 24,3695,3235,25920115,3485,34121323,140,108004,110,39937,1265,209479,245,394737,540,141139,345,41384,65,5836,1690,1000784,5,4353,5,14098,5,-23919,5,-9821,30,382710,15,173944,25,187364,3470,33184049,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,c. 25 - 29,1670,955,7227522,1170,11342109,55,52961,35,25900,290,58184,45,52164,170,57927,125,26271,55,5903,445,340930,5,12108,5,619,15,-89555,15,-88936,35,406109,25,288899,40,142955,1165,11039636,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,d. 30 - 34,1750,610,4783474,880,8438702,65,70841,35,18602,225,43938,40,63807,145,58208,140,23294,50,8782,380,319600,10,18496,5,16216,25,-191033,30,-174817,40,965476,30,901365,40,8239,855,8308499,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,e. 35 - 39,1985,530,4276389,850,8454287,50,48197,30,11667,195,35155,35,46335,165,70784,155,24016,55,7439,380,290934,10,96376,20,50530,30,-238434,50,-187904,35,605619,35,3352873,40,-55079,820,8238416,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,f. 40 - 44,1875,540,4557342,855,9139199,50,70305,25,11214,205,39898,40,38283,120,87575,180,36019,40,6145,380,301812,5,12034,15,51262,25,-243939,40,-192677,45,491289,40,440958,50,-19917,830,8982864,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,g. 45 - 49,1430,480,4371858,750,8184848,60,84529,20,13556,190,38305,30,18296,150,240829,155,32009,50,14159,365,498459,15,105589,15,88018,25,-244852,40,-156834,35,1054628,35,2549286,35,-87102,730,8135642,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,h. 50 - 54,1155,455,3924093,810,7992100,50,63327,10,6000,175,31333,20,7507,135,52897,165,36568,40,9807,350,337677,20,55579,20,111756,25,-252298,50,-140542,40,1289153,40,1638485,45,111299,790,7690442,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,i. 55 - 59,1285,570,5410365,1145,11933647,80,92769,20,6978,215,38129,30,30156,175,67348,295,68795,40,6889,490,442518,15,84949,20,127688,15,-149532,40,-21844,30,1063127,35,979539,35,90468,1130,11601100,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,j. 60 - 64,2080,640,5535723,2015,17732538,60,68479,10,18851,190,33748,20,7571,170,64695,440,127001,65,12621,660,534166,40,94048,45,255708,20,-100947,65,154761,30,680535,35,399330,35,248640,2000,17191632,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,k. 65 - 69,2250,280,2463931,2220,16989587,35,41840,10,4048,55,8746,5,1779,70,131524,375,106139,50,10023,490,402517,45,109974,30,168716,10,-21773,40,146943,20,138415,15,70564,20,53013,2220,16575885,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,l. 70 - 74,1930,70,449213,1915,11896800,5,4408,0,0,10,1072,0,0,15,3581,210,72146,35,15370,270,148708,45,78338,10,62697,5,-11914,15,50783,5,105315,5,80609,5,44260,1915,11608136,0,0
2010–11,Other self-preparer,Female,Non Taxable,SA,m. 75 and over,3210,50,418734,3200,24003557,5,35536,5,576,0,0,0,0,10,2331,440,171191,65,37474,560,355139,65,60893,35,208734,5,-18383,40,190351,10,138105,10,90091,10,60092,3195,23685357,0,0
2010–11,Other self-preparer,Female,Non Taxable,TAS,a. Under 18,645,545,2870314,625,3595924,5,846,10,1652,245,31558,15,4083,65,14080,40,1662,5,445,270,54816,5,857,0,0,0,0,0,0,0,0,0,0,0,0,625,3541063,0,0
2010–11,Other self-preparer,Female,Non Taxable,TAS,b. 18 - 24,1165,1015,7521441,1105,10624360,35,33014,25,6481,345,54979,65,58235,120,22254,110,10540,25,2575,460,189619,5,5472,0,0,0,0,0,0,5,22962,5,34648,5,3566,1105,10434634,0,0
2010–11,Other self-preparer,Female,Non Taxable,TAS,c. 25 - 29,655,280,2026345,360,3563976,10,6943,15,20948,80,14079,20,10865,50,34452,40,6034,15,1550,125,96228,5,112,5,4364,0,0,5,4364,10,238100,10,132417,10,69808,360,3470320,0,0
